"Name","Address","City","Description","Closed","Reopened","Reason"
"SKYLINE COMMUNITY ASSOCIATION","28445 STRATUS ST","SANTA CLARITA","PUBLIC SWIMMING POOL LOW RISK ADDITIONAL",01/04/2026,01/07/2026,"Fecal Accident or Other Water Contamination  California Health & Safety Code 116043, California Code of Regulations 65533, 65545, 65546"
"FARMERS MARKET","685 E BONITA AVE","SAN DIMAS","FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",01/02/2026,01/04/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"FARMERS MARKET","685 E BONITA AVE","SAN DIMAS","FOOD MKT RETAIL (2,000+ SF) LOW RISK",01/02/2026,01/04/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"WILDBIRD","318 S LA BREA AVE","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",01/02/2026,01/05/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"MI PATRIA RESTAURANT","9425 TELEGRAPH RD STE 108","PICO RIVERA","RESTAURANT (61-150) SEATS HIGH RISK",12/31/2025,01/23/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"ROTARY HOUSE","543 CROCKER ST ","LOS ANGELES","INTERIM HOUSING FF (1-1,999) SQ. FT.",12/30/2025,01/26/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"FLAVA BY SINCLAIR CARRIBEAN MARKET","12730 S FIGUEROA ST 101","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",12/30/2025,01/09/2026,"VERMIN INFESTATION - CALIFORNIA HEALTH AND SAFETY CODE SECTION 114259.1"
"HOLIDAY LIQUOR & MARKET     ","4966 W ADAMS BLVD ","LOS ANGELES","FOOD MKT RETAIL (2,000+ SF) LOW RISK",12/30/2025,01/02/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"ANARKALI INDIAN RESTAURANT","7013 MELROSE AVE","LOS ANGELES","RESTAURANT (61-150) SEATS HIGH RISK",12/30/2025,01/01/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"DOLLAR TREE #06216","5831 FIRESTONE BLVD","SOUTH GATE","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",12/30/2025,01/01/2026,"Vermin Infestation - California Health and Safety Code, section 114259.1"
"SUNSET FAIRFAX MOBIL","7865 SUNSET BLVD","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",12/29/2025,01/06/2026,"No Plans Submitted - California Health and Safety Code Section 114380 No Public Health Permit - California Health and Safety Code Section 114381"
"THE GOLDFISH @STICKY RICE HIGHLAND PARK","5043 YORK BLVD","LOS ANGELES","RESTAURANT (151 + ) SEATS HIGH RISK",12/29/2025,12/31/2025,"Vermin Infestation - California Health and Safety Code Section 114259.1 "
"SAINT AND SECOND","6220 N TOPANGA CANYON BLVD 1480","WOODLAND HILLS","RESTAURANT (151 + ) SEATS HIGH RISK",12/29/2025,12/30/2025,"No Method to Clean and Sanitize Available California Health and Safety Code Section 114095"
"SEAFOOD RANCH MARKET DELI   ","3756 W AVENUE 40 STE #NPQ","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",12/26/2025,12/30/2025,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"SEAFOOD RANCH MARKET        ","3756 W AVENUE 40 STE NPQ","LOS ANGELES","FOOD MKT RETAIL (2,000+ SF) HIGH RISK",12/26/2025,12/28/2025,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"VIVA MEXICO","11020 ATLANTIC AVE","LYNWOOD","RESTAURANT (151 + ) SEATS HIGH RISK",12/26/2025,01/09/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"TONY'S PIZZA","15624 WHITTWOOD LN","WHITTIER","RESTAURANT (0-30) SEATS MODERATE RISK",12/23/2025,12/30/2025,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"MR D'S DINER","919 FOOTHILL BLVD","LA VERNE","RESTAURANT (61-150) SEATS HIGH RISK",12/23/2025,12/27/2025,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"AVILES MARKET","3052 W 7TH ST","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",12/22/2025,12/30/2025,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"OXNARD RESEDA ARCO","6039 RESEDA BLVD","TARZANA","FOOD MKT RETAIL (2,000+ SF) LOW RISK",12/22/2025,12/26/2025,"Vermin Infestation - California Health and Safety Code Section 114259.1."
"MARISCOS LA CONSENTIDA","8335 ROSECRANS AVE","PARAMOUNT","RESTAURANT (61-150) SEATS HIGH RISK",12/12/2025,12/29/2025,"Vermin Infestation California Health and Safety Code Section 114259.1"
"ST RAYMOND SCHOOL CAFETERIA","12320 PARAMOUNT BLVD ","DOWNEY","PRIVATE SCHOOL CAFETERIA",12/10/2025,02/06/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"MAGNOLIA AT SNOWCREEK","401 SPUR TRAIL AVE ","WALNUT","PUBLIC SWIMMING POOL LOW RISK ADDITIONAL",12/04/2025,02/13/2026,"Pool Water is Cloudy/green with Algae and/or the Main Drain is Not Clearly Visible  California Code of Regulations 65527, 65545 Inadequate Chlorine / Disinfectant Residual  California Code of Regulations 65529, 65545 Pool Water Characteristics - pH in Excess of 8.0  California Code of Regulations 65530, 65545 Cyanuric Acid in Excess of 100 ppm  California Code of Regulations 65530, 65545"
"THE CROSSROADS","1616 WORKMAN MILL RD ","WHITTIER","PUBLIC SWIMMING POOL LOW RISK ADDITIONAL",11/04/2025,03/17/2026,"Inadequate Chlorine / Disinfectant Residual  California Code of Regulations 65529, 65545 "
"THE CROSSROADS","1616 WORKMAN MILL RD ","WHITTIER","PUBLIC SWIMMING POOL LOW RISK 1",11/04/2025,03/17/2026,"Pool Water Characteristics - pH in Excess of 8.0  California Code of Regulations 65530, 65545"
"FULTON RIVIERA","7130 FULTON AVE","NORTH HOLLYWOOD","PUBLIC SWIMMING POOL LOW RISK 1",10/30/2025,01/12/2026,"Gate/Door Not Self-Closing and/or Self-Latching, and/or Unapproved / in Disrepair  California Code of Regulations 65545, California Building Code 3119B"
"THE PALMS SOUTH","2010 S BATSON AVE","ROWLAND HEIGHTS","PUBLIC SWIMMING POOL LOW RISK ADDITIONAL",10/29/2025,02/10/2026,"Pool, Equipment, or Facilities have been Modified Without Submittal of Plans  California Code of Regulations 65505, 65545"
"6624 WOODLEY AVE APTS","6624 WOODLEY AVE ","VAN NUYS","PUBLIC SWIMMING POOL LOW RISK 1",10/29/2025,01/12/2026,"Excessive Chlorine / Disinfectant Residual  California Code of Regulations 65529, 65545   Pool, Equipment, or Facilities have been Modified Without Submittal of Plans  California Code of Regulations 65545, California Building Code 3103B, California Health and Safety Code 116038"
"MARY LANE CAFE","301 N SAN MARINO AVE","SAN GABRIEL","RESTAURANT (0-30) SEATS HIGH RISK",10/23/2025,01/06/2026," -No method to Clean and Sanitize Available- California Health and Safety Code Section 114095"
"SYCAMORE TERRACE","815 MAIN ST ","EL SEGUNDO","PUBLIC SWIMMING POOL LOW RISK 1",10/10/2025,02/04/2026,"Flooded Pool Light or Pool Light Electrical / Entanglement Hazard- California Codde of Regulations 65545, 3115B"
"SYCAMORE TERRACE","815 MAIN ST ","EL SEGUNDO","PUBLIC SWIMMING POOL LOW RISK ADDITIONAL",10/10/2025,02/04/2026,"- Recirculation System Not Operating- California Code of Regulations 65525, 65545 - Inadequate Skimming- California Code of Regulations 65533. 65545 - Flooded Pool Light or Pool Light Electrical / Entanglement Hazard- California Codde of Regulations 65545, 3115B"
"TACOS ENSENADA #5","3900 FIRESTONE BLVD","SOUTH GATE","RESTAURANT (0-30) SEATS HIGH RISK",10/08/2025,12/29/2025,"Vermin Infestation California Health and Safety Code Section 114259.1   Sewage Discharge California Health and Safety Code Section 114190"
"WESCOVE APARTMENTS","801 W WESCOVE PL","WEST COVINA","PUBLIC SWIMMING POOL LOW RISK 1",10/07/2025,04/01/2026,"Excessive Chlorine / Disinfectant Residual  California Code of Regulations 65529, 65545 Gate/Door Not Self-Closing and/or Self-Latching, and/or Unapproved / in Disrepair  California Code of Regulations 65545, California Building Code 3119B"
"LAKEVIEW PARK WADING POOL","11500 JOSLIN ST ","SANTA FE SPRINGS","PUBLIC SWIMMING POOL MODERATE RISK 1",10/02/2025,01/08/2026,"Broken, Loose, Missing, or Non-approved Suction Outlet Drain Cover  California Code of Regulations 65545; California Building Code 3137B"
"LAS COLINAS","26015 CYPRESS ST ","LOMITA","PUBLIC SWIMMING POOL LOW RISK 1",07/17/2025,04/01/2026,"- Inadequate Chlorine / Disinfectant Residual  California Code of Regulations 65529, 65545 - Entrapment / Suction Hazard  Noncompliance with Virginia Graeme Baker Act  California Health & Safety Code 116064, 116064.1, 116064.2; California Code of Regulations 65545; California Building Code 3162B. - Flooded Pool Light or Pool Light Electrical / Entanglement Hazard  California Code of Regulations 65545, California Building Code 3115B"
"PENINSULA HIGH SCHOOL","27118 SILVER SPUR RD ","ROLLING HILLS ESTATES","PUBLIC SWIMMING POOL MODERATE RISK 1",05/13/2025,04/02/2026,"Fecal Accident or Other Water Contamination  California Health & Safety Code 116043, California Code of Regulations 65533, 65545, 65546"
"MAYLEEN APARTMENTS","15651 DICKENS ST ","ENCINO","PUBLIC SWIMMING POOL LOW RISK 1",10/02/2024,01/27/2026,"Entrapment / Suction Hazard  Noncompliance with Virginia Graeme Baker Act  California Health & Safety Code 116064, 116064.1, 116064.2, and California Code of Regulations 65545, 3162B    Unapproved Chlorine Dispensing  California Code of Regulations 3133B, 65545   "
"CAPISTRANS GARDENS APT HOMES","13811 S SHOEMAKER AVE","NORWALK","PUBLIC SWIMMING POOL LOW RISK ADDITIONAL",06/28/2018,03/20/2026,"Lack of chlorine/disinfectant residual - California Code of Regulations 65529     Observed undetectable chlorine level of this pool."
