HOLIDAY INN EXPRESS SWIMMING POOL,2026-02-04,,11350 BURBANK BLVD ,NORTH HOLLYWOOD,PR0126588
STEVE'S CATERING,2025-09-12,96,7782 SAN FERNANDO RD ,SUN VALLEY,PR0138393
VALENCIA CAR WASH,2026-02-06,97,24233 CREEKSIDE RD,VALENCIA,PR0171823
MACC,2023-01-19,96,235 1/2 W 27TH ST,LOS ANGELES,PR0198708
2229 N CAHUENGA BLVD APTS,2022-09-27,,2229 N CAHUENGA BLVD,LOS ANGELES,PR0203734
5937 LIVE OAK ST APTS,2021-12-22,,5937 LIVE OAK ST,BELL GARDENS,PR0202638
4533 LOS FELIZ BLVD,2023-05-11,,4533 LOS FELIZ BLVD,LOS ANGELES,PR0204961
1831 RIVERSIDE DR APTS SWIMMING POOL,2024-07-29,,1831 RIVERSIDE DR,GLENDALE,PR0207051
WINDSOR REAL SWIMMING POOL,2025-05-07,,1377 E WINDSOR RD,GLENDALE,PR0208779
2508 CENTINELA AVE APTS,2023-07-13,,2508 CENTINELA AVE,LOS ANGELES,PR0210692
ROYALTY LIQUOR & MARKET,2025-04-02,92,6200 S SAN PEDRO ST,LOS ANGELES,PR0210526
1015 W 81ST APT,2022-07-19,,1015 W 81ST ST,LOS ANGELES,PR0210200
TARZANA COURTYARD APTS.,2024-11-19,,18400 COLLINS ST,TARZANA,PR0211165
13047 MOORPARK ST APTS,2021-07-15,,13047 MOORPARK ST,STUDIO CITY,PR0210810
6003 LIVE OAK ST APTS,2022-07-19,,6003 LIVE OAK ST,BELL GARDENS,PR0211725
1215 GRANVILLE AVE APTS,2023-05-10,,1215 GRANVILLE AVE,LOS ANGELES,PR0211737
1231 S BEDFORD ST APTS,2023-01-25,,1231 S BEDFORD ST,LOS ANGELES,PR0211991
1920 W VERDUGO AVE APTS,2023-05-18,,1920 W VERDUGO AVE,BURBANK,PR0211923
HOA 509 WEST DUARTE TOWNHOMES,2022-11-21,,509 W DUARTE RD,ARCADIA,PR0212107
BLAZE PIZZA # 1265,2025-02-18,98,2416 FOOTHILL BLVD,LA VERNE,PR0212101
Q & Q HAWAIIAN BBQ,2025-10-22,91,8850 TAMPA AVE # 104,NORTHRIDGE,PR0212155
235 W QUEEN ST APTS SWIMMING POOL,2023-04-20,,235 W QUEEN ST ,INGLEWOOD,PR0194976
359 S CLOVERDALE AVE APTS,2024-12-18,,359 S CLOVERDALE AVE ,LOS ANGELES,PR0195048
THE GARDEN THAI,2025-05-08,92,210 N AVIATION BLVD UNT D,MANHATTAN BEACH,PR0196880
CARLS JR #347,2025-07-01,95,21703 S AVALON BLVD,CARSON,PR0197170
GOLDEN PALMS,2022-10-26,,763 ARCADIA AVE,ARCADIA,PR0044141
HIHO BURGERS,2023-08-15,91,1320 2ND ST STE B,SANTA MONICA,PR0198057
JUDI'S DELI LLC,2024-04-08,94,433 N BEDFORD DR,BEVERLY HILLS,PR0198103
BEACHSIDE CONDOMINIUS,2022-08-10,,447 HERONDO ST ,HERMOSA BEACH,PR0043627
11940 WEDDINGTON ST HOA,2022-03-03,,11940 WEDDINGTON ST ,VALLEY VILLAGE,PR0024028
BROADVIEW LIQUOR,2025-11-18,93,3530 N VERDUGO RD,GLENDALE,PR0198335
BELLFLOWER HEIGHTS CONDOS,2022-04-12,,9507 E FLOWER ST ,BELLFLOWER,PR0015643
AGNES MANOR,2023-02-27,,12016 WEDDINGTON ST ,VALLEY VILLAGE,PR0008646
WEDDINGTON PLACE HOA,2023-03-06,,12000 WEDDINGTON ST ,VALLEY VILLAGE,PR0029075
343 S ARROYO DR APTS,2023-07-25,,343 S ARROYO DR,SAN GABRIEL,PR0212208
WALGREENS,2026-01-28,94,150 S GRAND AVE ,COVINA,PR0038889
THE STAND/ CALABASAS,2025-03-12,94,23683 CALABASAS RD,CALABASAS,PR0212178
VAN NESS TOWN HOUSES HOA,2022-11-22,,601 S VAN NESS AVE ,LOS ANGELES,PR0036052
ZUMA BAY VILLAS                SPA POOL,2021-11-04,,6750 WESTWARD BEACH RD ,MALIBU,PR0048527
VAN NESS TOWN HOUSES HOA SWIMMING POOL,2022-11-22,,601 S VAN NESS AVE ,LOS ANGELES,PR0059027
VAN NESS TOWN HOUSES HOA SPA POOL,2022-11-22,,601 S VAN NESS AVE ,LOS ANGELES,PR0059028
GUEST HOUSE INN HOLLYWOOD,2024-12-24,,6700 W SUNSET BLVD ,LOS ANGELES,PR0135709
SURE STAY BY BEST WESTERN,2026-02-26,,4920 FIRESTONE BLVD ,SOUTH GATE,PR0137000
COUNTRYWOOD PARK HOMES HOA   WADING POOL,2023-06-12,,1400 S COUNTRYWOOD AVE ,HACIENDA HEIGHTS,PR0052472
SPROUTS FARMERS MKT MEAT#257,2025-10-14,99,400 W HUNTINGTON DR ,MONROVIA,PR0026974
LOBSTA TRUCK,2025-03-26,92,1542 FISHBURN AVE,LOS ANGELES,PR0142213
11756 KIOWA AVE CONDOS,2021-12-10,,11756 KIOWA AVE ,LOS ANGELES,PR0035111
ZACAPA MINI MARKET,2025-10-08,98,4810 S HOOPER AVE,LOS ANGELES,PR0150826
YUKON II TOWNHOMES,2022-03-04,,14466 S YUKON AVE ,HAWTHORNE,PR0045911
YUKON 11 TOWNHOMES SPA POOL,2023-01-31,,14466 S YUKON AVE ,HAWTHORNE,PR0058069
CH HANGAN INC,2025-05-14,93,3470 W 6TH ST STE 9,LOS ANGELES,PR0160878
ROSS STORES #039,2026-02-12,96,19151 VENTURA BLVD ,TARZANA,PR0017411
HANCOCK REGENCY CONDO,2022-11-29,,326 S WESTMINSTER AVE ,LOS ANGELES,PR0031430
TARZANA CAFE BAKERY,2025-04-02,95,19003 VENTURA BLVD,TARZANA,PR0023567
946-948 9TH ST CONDOMINIUMS,2021-06-29,,946 9TH ST,SANTA MONICA,PR0028634
VIRGINIA REEL HOA SPA POOL,2024-09-23,,950 VIRGINIA ST ,EL SEGUNDO,PR0051821
ROSS DRESS FOR LESS STORE,2025-07-29,98,1807 N HACIENDA BLVD ,LA PUENTE,PR0014874
VERDUGO HILLS FAMILY YMCA SWIMMING POOL,2025-02-28,,6840 FOOTHILL BLVD ,TUJUNGA,PR0124958
THE WOODS SWIMMING POOL,2021-07-19,,21930 MARYLEE ST ,WOODLAND HILLS,PR0056803
THE WOODS SPA POOL,2021-07-19,,21930 MARYLEE ST ,WOODLAND HILLS,PR0056804
11982 KIOWA AVE HOA,2022-01-05,,11982 KIOWA AVE ,LOS ANGELES,PR0026437
BOTTOM LINE,2025-09-18,99,2066 W MANCHESTER AVE ,LOS ANGELES,PR0001212
KIOWA GARDENS CONDOS,2021-10-27,,11743 KIOWA AVE ,LOS ANGELES,PR0016271
VILLA ALINA HOA SPA POOL,2025-07-21,,2930 MONTROSE AVE ,LA CRESCENTA,PR0049322
KIOWA SQUARE HOA,2022-01-05,,11826 KIOWA AVE ,LOS ANGELES,PR0012329
2474 S CENTINELA AVE HOA,2022-07-12,,2474 S CENTINELA AVE ,LOS ANGELES,PR0004184
GLENOAKS GARDEWNS CONDOMINIU,2023-01-30,,15230 ROXFORD ST ,SYLMAR,PR0032551
2486 S CENTINELA AVE HOA,2022-07-12,,2486 S CENTINELA AVE ,LOS ANGELES,PR0015237
2470 CENTINELA HOA,2022-07-12,,2470 S CENTINELA AVE ,LOS ANGELES,PR0012307
ANA'S HOTDOG,2026-01-27,95,537 CROCKER ST ,LOS ANGELES,PR0141888
MA DANG GOOK SOO,2026-02-04,90,869 S WESTERN AVE STE #1,LOS ANGELES,PR0011636
G & M +96,2025-12-16,95,7360 FLORENCE AVE,DOWNEY,PR0021867
CAROLYN ROSAS PARK,2023-09-07,99,18500 FARJARDO ST,ROWLAND HEIGHTS,PR0121570
SOUTH BAY ALANO CLUB,2024-06-19,93,702 11TH PL ,HERMOSA BEACH,PR0042605
DOLLAR KING,2026-01-13,98,14536 NORDHOFF ST,PANORAMA CITY,PR0158143
RIVERSTONE VILLA,2022-01-04,,11033 OLD RIVER SCHOOL RD ,DOWNEY,PR0046488
KENDALL GUEST HOME,2025-06-20,,4700 MAXSON RD ,EL MONTE,PR0137305
MAGNOLIA VILLA,2021-07-29,,11937 E MAGNOLIA ST ,EL MONTE,PR0028044
12007 WEDDINGTON HOUSE,2023-03-06,,12007 WEDDINGTON ST ,VALLEY VILLAGE,PR0004667
MCDONALD'S #2203,2025-06-11,95,15700 VENTURA BLVD ,ENCINO,PR0008633
WEDDINGTON COURT,2023-02-27,,11939 WEDDINGTON ST ,VALLEY VILLAGE,PR0043203
SPA POOL,2022-06-08,,234 S TOWER DR ,BEVERLY HILLS,PR0054533
ALBERTSON'S #108 - BAKERY,2025-08-18,98,1735 ARTESIA BLVD ,GARDENA,PR0044009
A & N LIQUOR,2025-10-15,90,7831 S ALAMEDA ST ,LOS ANGELES,PR0004018
WEDDINGTON COURT               SWIMMING POOL,2023-02-27,,11939 WEDDINGTON ST ,VALLEY VILLAGE,PR0049227
LA MIRADA LANDMARK ADULT COMMUNITY ASSOCIATION POOL,2024-07-05,,13100 E AVENIDA SANTA TECLA ,LA MIRADA,PR0150961
5228 VANTAGE AVE ASSOCIATION,2021-06-22,,5228 VANTAGE AVE ,VALLEY VILLAGE,PR0033186
MI CHAPITA MINI MARKET,2025-10-07,98,5724 S BROADWAY ,LOS ANGELES,PR0007717
837 10TH ST HOA,2023-04-17,,837 10TH ST ,SANTA MONICA,PR0002282
CONDO,2022-02-08,,14315 TERRA BELLA ST ,PANORAMA CITY,PR0041775
AMC THEATRES GLENDORA # 12,2025-07-28,96,1337 E GLADSTONE ST ,GLENDORA,PR0022447
CARL'S JR,2024-03-01,97,6601 N LANKERSHIM BLVD ,NORTH HOLLYWOOD,PR0030754
VANTAGE HOA,2021-06-08,,5240 VANTAGE AVE ,VALLEY VILLAGE,PR0031289
SPA,2024-10-06,,10001 TOPANGA CANYON BLVD ,CHATSWORTH,PR0151589
728 E WINDSOR RD APTS SWIMMING POOL,2025-05-01,,728 E WINDSOR RD ,GLENDALE,PR0051996
SLURPIN RAMEN,2025-12-04,93,3500 W 8TH ST,LOS ANGELES,PR0161049
UNKNOWN,2021-08-18,,1428 19TH ST,SANTA MONICA,PR0145964
ARTESIA COMMUNITY CENTER,2024-06-21,95,18750 S CLARKDALE AVE ,ARTESIA,PR0001987
LUPITAS MARKET,2025-10-02,99,5875 S BROADWAY ,LOS ANGELES,PR0044084
BEVERLY HILLS UNION 76,2026-03-11,95,9460 W OLYMPIC BLVD ,BEVERLY HILLS,PR0041470
LA PALMA ESTATES SWIMMING POOL,2023-05-26,,15111 FREEMAN AVE ,LAWNDALE,PR0053660
VILLA RENATA,2021-10-07,,11838 KIOWA AVE ,LOS ANGELES,PR0031323
STARBUCKS #23599,2024-01-23,98,1010 N GAREY AVE,POMONA,PR0161363
ELECTRIC LODGE,2022-10-24,98,1416 ELECTRIC AVE ,VENICE,PR0039049
DAISO JAPAN,2026-01-15,98,21557 S WESTERN AVE,TORRANCE,PR0161060
VILLAS DEL REY SPA POOL,2021-06-15,,8130 W MANCHESTER AVE ,PLAYA DEL REY,PR0053662
TARGET #2019,2023-06-22,95,15614 WHITTWOOD LN ,WHITTIER,PR0015816
1 SEA COLONY DR HOA SPA POOL,2024-10-07,,1 SEA COLONY DR ,SANTA MONICA,PR0060565
TRADER JOE'S #44,2026-01-27,98,11114 BALBOA BLVD ,GRANADA HILLS,PR0016572
YOUNG'S LIQUOR,2026-01-02,95,3800 EL SEGUNDO BLVD,HAWTHORNE,PR0161323
SEE'S CANDIES #74,2026-02-17,98,15530 WHITTWOOD LN,WHITTIER,PR0034977
1303 W AVENUE J-4 HOA,2022-07-22,,1303 W AVENUE J-4,LANCASTER,PR0030461
SAM'S CATERING,2026-01-28,95,6233 WHITTIER BLVD ,LOS ANGELES,PR0142870
PARKPLACE TOWNHOMES,2022-08-22,,15337 S HUNSAKER AVE ,PARAMOUNT,PR0046069
THE BOTTLE SHOP,2026-01-14,95,2087 TORRANCE BLVD ,TORRANCE,PR0002821
HOMESTEAD CONDOS,2022-08-17,,6601 CARO ST,PARAMOUNT,PR0046723
PICCADILLY MANOR CONDO,2022-01-14,,4633 MARINE AVE ,LAWNDALE,PR0005754
VILLAS DEL REY SWIMMING POOL,2021-06-15,,8130 W MANCHESTER AVE ,PLAYA DEL REY,PR0053663
14807 CONDON AVE,2022-05-10,,14807 CONDON AVE ,LAWNDALE,PR0011027
PICCADILLY MANOR CONDO       SPA POOL,2022-01-14,,4633 MARINE AVE ,LAWNDALE,PR0051226
LARCH TOWNHOMES,2023-05-15,,14525 LARCH AVE ,LAWNDALE,PR0012831
LA PALMA ESTATES SPA POOL,2023-05-26,,15111 FREEMAN AVE ,LAWNDALE,PR0053661
HILL STREET PIZZA,2025-04-30,98,448 S HILL ST ,LOS ANGELES,PR0018514
SPA RELAKEN AT MIYAKO HYBRID SPA POOL,2024-11-16,,21381 S WESTERN AVE ,TORRANCE,PR0126481
MCDONALD'S,2026-03-26,95,15235 S FIGUEROA ST ,GARDENA,PR0023325
EL REY THEATRE BAR,2024-04-25,93,5515 WILSHIRE BLVD ,LOS ANGELES,PR0016080
KRUSTY BURGER,2026-03-18,92,100 UNIVERSAL CITY PLZ,UNIVERSAL CITY,PR0160889
MCDONALDS # 1325,2025-09-24,99,1231 S LA BREA AVE ,LOS ANGELES,PR0012348
CAROUSEL JR MART LIQUOR,2026-01-27,96,801 W GLADSTONE ST ,AZUSA,PR0046878
12311 PACIFIC AVE HOA,2022-07-15,,12311 PACIFIC AVE ,LOS ANGELES,PR0045680
MAYFIELD REGENCY,2022-01-21,,11829 MAYFIELD AVE ,LOS ANGELES,PR0016855
UNITED OIL #191,2025-09-17,97,15904 LAKEWOOD BLVD,BELLFLOWER,PR0158022
MANITOBA WEST,2021-06-29,,8150 MANITOBA ST ,PLAYA DEL REY,PR0122702
HMEOWNRS ASSOCIATION,2022-07-20,,12616 PACIFIC AVE ,LOS ANGELES,PR0014818
TERRACE VIEW CONDOMINIUMS,2021-06-29,,3536 S CENTINELA AVE ,LOS ANGELES,PR0037692
HABITAT PACIFIC HOA,2021-08-10,,12411 PACIFIC AVE ,LOS ANGELES,PR0023087
HOMEOWNERS ASSOCIATION,2022-01-06,,11753 MAYFIELD AVE ,LOS ANGELES,PR0016648
STEWART COURT SWIMMING POOL,2025-10-06,,3861 STEWART AVE ,BALDWIN PARK,PR0057052
10960 1 NATIONAL BLVD HOA SWIMMING POOL,2021-08-09,,10960 1/2 NATIONAL BLVD,LOS ANGELES,PR0053386
907 LINCOLN BLVD HOA,2022-11-09,,907 LINCOLN BLVD ,SANTA MONICA,PR0021201
COURTYARD MARRIOTT,2025-11-24,,28523 WESTINGHOUSE PL ,VALENCIA,PR0136570
NOAH'S NEW YORK BAGELS #3476,2024-08-09,90,821 N DOUGLAS ST ,EL SEGUNDO,PR0001427
ARROW INN,2025-10-03,,469 E ARROW HWY ,AZUSA,PR0137542
PACIFIC AVE CONDOMINIUMS ASO,2021-08-31,,12602 PACIFIC AVE ,LOS ANGELES,PR0038089
DENNY'S #6059,2025-01-07,97,16907 PIONEER BLVD,ARTESIA,PR0160657
CLETUS CHICKEN SHACK,2026-03-18,98,100 UNIVERSAL CITY PLZ,UNIVERSAL CITY,PR0160888
CENTINELA OCEAN VIEW HOA,2022-08-04,,3460 S CENTINELA AVE ,LOS ANGELES,PR0042995
LA FITNESS SWIMMING POOL,2024-08-06,,13069 VICTORY BLVD ,NORTH HOLLYWOOD,PR0124978
CENTINELA CREST HOA,2022-08-04,,3544 S CENTINELA AVE ,LOS ANGELES,PR0015672
ILLINOIS PINE CONDOS,2021-12-01,,1711 PINE ST ,EL SEGUNDO,PR0027353
LA FITNESS SPA POOL,2024-08-06,,13069 VICTORY BLVD ,NORTH HOLLYWOOD,PR0124979
Y & Y MARKET,2023-10-20,98,373 W 39TH ST ,LOS ANGELES,PR0016640
TRADER JOE'S #55,2026-03-02,99,1556 COLORADO BLVD ,LOS ANGELES,PR0025418
MARIA ARANDA MINI MARKET,2025-10-07,95,4703 S COMPTON AVE ,LOS ANGELES,PR0041418
OAK TREE VILLAS              SPA POOL,2025-09-16,,1832 OAK TREE DR ,LOS ANGELES,PR0060249
HOA,2023-11-27,,1012 10TH ST ,SANTA MONICA,PR0009261
TATA'S,2024-07-12,98,7782 SAN FERNANDO RD ,SUN VALLEY,PR0140243
LA MIRADA AQUATICS SHALLOW POOL,2025-08-29,,13806 LA MIRADA BLVD ,LA MIRADA,PR0126463
MCONALD'S #793,2023-12-06,92,15710 E LEFFINGWELL RD ,WHITTIER,PR0001906
LA MIRADA AQUATICS INTERACTIVE SPLASH PAD,2025-08-29,,13806 LA MIRADA BLVD ,LA MIRADA,PR0126467
VINELAND SWAPMEET CHURRO,2025-08-22,96,443 VINELAND AVE ,INDUSTRY,PR0142136
VASQUEZ PRODUCE,2025-09-29,97,4607 WALL ST ,LOS ANGELES,PR0142755
THE BEST WATER,2026-01-30,99,1106 N CITRUS AVE # C,COVINA,PR0167710
CROCKER CLUB,2024-11-08,99,453 S SPRING ST,LOS ANGELES,PR0312929
ROYAL TOPANGA TOWNHOMES - SPA POOL,2024-11-10,,22038 VANOWEN ST ,CANOGA PARK,PR0055917
ROYAL TOPANGA TOWNHOMES - SWIMMING POOL,2024-11-10,,22038 VANOWEN ST ,CANOGA PARK,PR0055916
ROSEMARY'S CATERING,2026-02-02,94,14311 LEMOLI AVE,HAWTHORNE,PR0168296
DOMESTIC,2025-02-06,92,110 GLENDORA AVE,LA PUENTE,PR0168202
I-PIZZA TUMBY'S INC,2025-11-03,96,1059 ALVARADO ST,LOS ANGELES,PR0168700
ALONDRA'S TACOS,2023-12-13,100,730 S MAPLE AVE,MONTEBELLO,PR0168588
PIZZA MOON,2025-02-26,91,2619 S WESTERN AVE,LOS ANGELES,PR0168662
HOPDODDY,2025-07-30,97,830 S PACIFIC COAST HWY # 116,EL SEGUNDO,PR0168666
SKI'S LIQUOR,2026-01-14,97,12615 PIONEER BLVD,NORWALK,PR0168660
GLENDALE HIGHLANDS,2025-10-21,100,2627 HOLLYWOOD WAY # 1495,BURBANK,PR0168731
HUDSON OF HOLLYWOOD,2025-10-21,100,2627 HOLLYWOOD WAY # 1493,BURBANK,PR0168733
DD'S DISCOUNTS #5141,2025-12-03,98,230 N MARKET ST ,INGLEWOOD,PR0046077
MARIPOSA @ PLUM CANYON,2021-08-16,,19370 OPAL LN ,SANTA CLARITA,PR0016861
CLIFF'S AVENUE I LIQUORS,2025-12-31,93,1201 W AVENUE I ,LANCASTER,PR0012006
SMART & FINAL,2026-02-27,99,10935 E FIRESTONE BLVD ,NORWALK,PR0002417
FOOD 4 LESS # 370 ( MAIN),2025-08-20,97,4910 E HUNTINGTON DR S ,LOS ANGELES,PR0010932
UNITED OIL #117,2026-01-13,99,11353 E IMPERIAL HWY,NORWALK,PR0157981
HARMONY CONDOS,2022-04-04,,1114 W 163RD ST APT #4,GARDENA,PR0038767
SAN LORENZO VILLAS,2024-06-24,,1450 W 166TH ST ,GARDENA,PR0012675
SWIMMING POOL,2023-07-25,,9025 WILLIS AVE ,PANORAMA CITY,PR0052886
BEACH BOWLS,2025-05-28,92,1622 S PACIFIC COAST HWY # B,REDONDO BEACH,PR0047313
13921 KORNBLUM AVE POOL SPA POOL,2024-10-31,,13921 S KORNBLUM AVE,HAWTHORNE,PR0051156
DEL MAR TOWNHOMES HOA,2021-07-13,,2244 DEL MAR RD ,MONTROSE,PR0041474
MCDONALD'S,2025-06-12,98,1763 W CENTURY BLVD ,LOS ANGELES,PR0013139
URSEILA MEAT,2025-10-16,96,1212 W MANCHESTER AVE ,LOS ANGELES,PR0028995
CITRUS LIQUOR,2026-01-06,98,484 S CITRUS AVE ,AZUSA,PR0022812
COMFORT INN,2025-04-24,,2717 W SUNSET BLVD ,LOS ANGELES,PR0136050
TRAVELODGE - BURBANK,2025-07-28,,1112 N HOLLYWOOD WAY ,BURBANK,PR0136808
WATER GRILL SUSHI,2024-04-18,95,1401 OCEAN AVE,SANTA MONICA,PR0120818
COLONY INN,2025-04-24,,4917 VINELAND AVE ,NORTH HOLLYWOOD,PR0135992
8349 BLACKBURN AVE HOA,2023-03-14,,8349 BLACKBURN AVE ,LOS ANGELES,PR0004228
SIZZLER RESTAURANT,2025-06-17,97,10153 E ARTESIA BLVD ,BELLFLOWER,PR0003734
RADISSON HOTEL AT USC SWIMMING POOL,2026-02-18,,3540 S FIGUEROA ST ,LOS ANGELES,PR0123903
RADISSON HOTEL AT USC SPA POOL,2026-02-18,,3540 S FIGUEROA ST ,LOS ANGELES,PR0123904
MOUNT ST MARY'S COLLEGE SWIMMING POOL,2023-08-10,,8 CHESTER PL ,LOS ANGELES,PR0124368
USC GALEN CENTER SPA POOL,2024-08-22,,3400 S FIGUEROA ST ,LOS ANGELES,PR0126366
CHARTER OAK HIGH SCHOOL SWIMMING POOL,2026-03-19,,1430 E COVINA BLVD ,COVINA,PR0123732
HILTON GARDEN INN MONTEBELLO,2024-07-11,,801 VIA SAN CLEMENTE ,MONTEBELLO,PR0136576
ACE SUSHI @ ALBERTSON'S #6561,2024-11-03,98,298 E LIVE OAK AVE,ARCADIA,PR0168605
WOODLAND VILLAS,2022-08-29,,5915 MALABAR ST ,HUNTINGTON PARK,PR0007863
TIERRA BONITA SPLASH PAD,2025-05-28,,44910 27TH ST E,LANCASTER,PR0193671
5242 CAHUENGA BLVD APTS,2023-01-10,,5242 CAHUENGA BLVD,NORTH HOLLYWOOD,PR0206647
POPEYES CHICKEN,2025-09-12,95,1150 W ROSECRANS AVE,GARDENA,PR0206719
13641 TEMPLE AVE APTS,2022-10-05,,13641 TEMPLE AVE,LA PUENTE,PR0207737
CHEOS TACOS #2,2025-07-17,92,7782 SAN FERNANDO RD,SUN VALLEY,PR0212331
BRIANA'S PRODUCE,2025-09-09,98,8445 WILLIS ST,PANORAMA CITY,PR0215166
NIHON SOCIAL CLUB,2025-04-04,97,319 E 2ND ST 202,LOS ANGELES,PR0285044
PANERA BREAD #4867,2025-06-17,93,2130 E EL SEGUNDO BLVD,EL SEGUNDO,PR0288149
SLATER'S 50/50,2025-09-17,95,3525 W CARSON ST STE 75,TORRANCE,PR0287488
BOLT,2024-03-07,90,190 HERMOSA AVE,HERMOSA BEACH,PR0280893
POKEYA,2025-03-24,97,10650 BALBOA BLVD #A,GRANADA HILLS,PR0288063
GOLDEN HUNAN CHINESE RESTAURANT,2025-10-30,96,10334 RESEDA BLVD,NORTHRIDGE,PR0289224
10883 PALMS BLVD APTS,2024-03-11,,10883 PALMS BLVD,LOS ANGELES,PR0279556
